ID,Condition,Group,Expectation,Instructions,Trial,Y_axis,X_axis,Radial.Error,Constant_X,Constant_Y,BVE
6,lp,TCA,Teach,Analogy,6,-68.214,17.346,70.38489548,17.346,-68.214,629.1160578
6,lp,TCA,Teach,Analogy,7,9.689,17.626,20.11349291,17.626,9.689,2904.750836
6,lp,TCA,Teach,Analogy,8,-53.87,18.284,56.8883253,18.284,-53.87,147.832985
6,lp,TCA,Teach,Analogy,9,-84.891,1.886,84.91194779,1.886,-84.891,1775.237476
6,lp,TCA,Teach,Analogy,10,58.162,5.241,58.39765685,5.241,58.162,10443.63572
7,pt,TCA,Teach,Analogy,1,194,-65,204.599609,-65,194,20167.87525
7,pt,TCA,Teach,Analogy,2,30.246,-18.786,35.6052568,-18.786,30.246,1709.527243
7,pt,TCA,Teach,Analogy,3,77.944,20.38,80.56433166,20.38,77.944,553.3757103
7,pt,TCA,Teach,Analogy,4,103.664,13.386,104.5246856,13.386,103.664,1511.900064
7,pt,TCA,Teach,Analogy,5,96.856,5.18,96.99441807,5.18,96.856,901.4952303
7,pt,TCA,Teach,Analogy,6,8.743,14.505,16.93620601,14.505,8.743,3670.604903
7,pt,TCA,Teach,Analogy,7,0.227,-11.176,11.1783051,-11.176,0.227,4623.348687
7,pt,TCA,Teach,Analogy,8,61.724,11.395,62.76701523,11.395,61.724,177.3225693
7,pt,TCA,Teach,Analogy,9,31.628,15.96,35.42671286,15.96,31.628,1555.700306
7,pt,TCA,Teach,Analogy,10,68.993,7.658,69.41670558,7.658,68.993,71.54923109
7,b1,TCA,Teach,Analogy,1,126.343,18.51,127.6917137,18.51,126.343,7665.876919
7,b1,TCA,Teach,Analogy,2,-18.604,13.771,23.14625795,13.771,-18.604,3389.826946
7,b1,TCA,Teach,Analogy,3,107.114,17.906,108.6003399,17.906,107.114,4679.058697
7,b1,TCA,Teach,Analogy,4,74.541,14.042,75.85208267,14.042,74.541,1268.518322
7,b1,TCA,Teach,Analogy,5,-36.76,-6.323,37.29983819,-6.323,-36.76,6013.311703
7,b1,TCA,Teach,Analogy,6,-0.573,-7.656,7.67741265,-7.656,-0.573,1853.938116
7,b1,TCA,Teach,Analogy,7,66.551,12.469,67.70902127,12.469,66.551,755.1320058
7,b1,TCA,Teach,Analogy,8,-11.135,3.365,11.63234499,3.365,-11.135,2576.447431
7,b1,TCA,Teach,Analogy,9,-0.333,3.375,3.391388211,3.375,-0.333,1601.885093
7,b1,TCA,Teach,Analogy,10,86.572,14.719,87.81435045,14.719,86.572,2267.582882
7,b3,TCA,Teach,Analogy,1,-12.551,3.503,13.03067957,3.503,-12.551,1739.785559
7,b3,TCA,Teach,Analogy,2,116.796,19.346,118.3873867,19.346,116.796,8063.173443
7,b3,TCA,Teach,Analogy,3,46.849,-10.887,48.09735512,-10.887,46.849,442.9250967
7,b3,TCA,Teach,Analogy,4,9.665,-7.118,12.00325577,-7.118,9.665,430.7322399
7,b3,TCA,Teach,Analogy,5,11.707,6.24,13.26617688,6.24,11.707,335.3669343
7,b3,TCA,Teach,Analogy,6,38.549,-19.009,42.98101304,-19.009,38.549,464.2570331
7,b3,TCA,Teach,Analogy,7,8.412,-7.316,11.14834517,-7.316,8.412,483.8389115
7,b3,TCA,Teach,Analogy,8,65.215,-6.165,65.50575127,-6.165,65.215,1350.86055
7,b3,TCA,Teach,Analogy,9,45.552,12.068,47.12346897,12.068,45.552,410.5913827
7,b3,TCA,Teach,Analogy,10,-39.809,12.589,41.75211853,12.589,-39.809,4890.381499
7,b6,TCA,Teach,Analogy,1,33.098,-18.628,37.97999458,-18.628,33.098,874.1513722
7,b6,TCA,Teach,Analogy,2,-10.642,-8.953,13.90713389,-8.953,-10.642,607.3492252
7,b6,TCA,Teach,Analogy,3,-53.663,-4.415,53.84431069,-4.415,-53.663,4295.864078
7,b6,TCA,Teach,Analogy,4,-30.185,13.627,33.11841412,13.627,-30.185,1888.799833
7,b6,TCA,Teach,Analogy,5,47.804,-1.129,47.81733009,-1.129,47.804,1318.753869
7,b6,TCA,Teach,Analogy,6,-13.935,-11.707,18.19994709,-11.707,-13.935,830.735958
7,b6,TCA,Teach,Analogy,7,31.345,14.983,34.74189566,14.983,31.345,567.31139
7,b6,TCA,Teach,Analogy,8,-7.347,3.761,8.253697959,3.761,-7.347,363.266274
7,b6,TCA,Teach,Analogy,9,40.944,12.569,42.82978983,12.569,40.944,980.1072264
